#,サイト,ページ,ステップ,画像ファイル,差し替え後,画面タイトル,T-code,キャプション,callouts（見るべき点）,撮影メモ
1,sapmto,config.html,配置前的准备,config_prep_1.svg,config_prep_1.png,カスタマイジング（IMG）の前提確認,SPRO,配置前的准备：SPRO（IMG）と前提 3 点,1) 依頼を指定しないと保存できない（未指定なら最初に作る） / 2) ① 依頼 ② SPRO 権限 ③ 番号範囲 —— この 3 点だけ先に確認,手顺の中の SPRO パスは日本語表記です。環境によってノード名が違う場合があるため、T-code を直接入力するのが速く確実です。
2,sapmto,config.html,c0,,.png,受注伝票の登録：初期画面,VA01,C0 前提確認：販売エリア（1000/10/00）が選べること,1) 販売エリアはここで選べる必要がある。選べない＝組織構造の割当が未完了で、以降の全練習が止まります / 2) 受注日は納期計算の起点。練習では今日を使う（納期は +30 日）,配置前の準備：SPRO（カスタマイジング）が開けること、カスタマイジング依頼に書き込めることを先に確認します。自システムでの確認：MMNR（品目番号範囲）・VN01（受注明細番号範囲）に空きがあること。
3,sapmto,config.html,c0,,.png,得意先マスタ 照会,XD03,C0 前提確認：得意先 1000 の販売エリアビューと出荷先,1) 販売エリアビューが無いと VA01 で得意先を入力した瞬間にエラーになります / 2) 出荷先（船積先）が未登録だと VL01N が出荷伝票を作れません（未指定なら受注先が使われる）,自システムでの確認：BP（S/4HANA では業務パートナ）でも同じ得意先を表示できます。練習① までの前提は「VA01 が初期画面まで進めること」だけです。
4,sapmto,config.html,c1,,.png,品目マスタ 登録：初期画面（部品 ZMTO-RM01）,MM01,C1 部品品目：品目タイプ ROH / プラント 1000 で登録を開始,1) 部品は ROH（原材料）。完成品の FERT と分けておくと番号範囲と所要量の扱いが整理できます / 2) 部品は受注在庫にしない：戦略グループ・個別/包括所要量は空のままで OK（見込生産品と同じ扱い）,自システムでの確認：ZMTO-RM02 は HAWA（商品）で登録します。ビューは 基本データ1・2 / 購買 / MRP1〜4 / 会計1 / 原価計算1 / プラント在庫 / 保管場所。
5,sapmto,config.html,c1,,.png,初期在庫投入（移動タイプ 561）,MB1C,C1 部品の初期在庫：ZMTO-RM01 100 PC（RM02 は 500 PC）,1) 561 は「初期在庫投入」専用。受注在庫 E ではなく自由在庫（プラント在庫）に入ります / 2) 部品在庫は 261（指図への出庫）で減ります。練習③ で 100 → 80 PC になります,自システムでの確認：MIGO では操作「その他の入庫」＋移動タイプ 561 でも同じことができます。投入後は MMBE / MB52 で 100 PC を確認してください。
6,sapmto,config.html,c2,,.png,品目マスタ 登録：初期画面（完成品 ZMTO-FG01）,MM01,C2 完成品：品目タイプ FERT / プラント 1000 で登録を開始,1) FERT 以外だと受注在庫の対象になりません。MTO の完成品はここが起点 / 2) ビューは 基本1・2 / 購買 / MRP1〜4 / 会計1 / 原価計算1 / プラント在庫 / 販売組織1・2 を選択,自システムでの確認：品目タイプ FERT に受注在庫の可否が設定されているかはカスタマイジング（品目タイプ）で確認します。
7,sapmto,config.html,c2,,.png,品目マスタ 変更：MRP 3 ビュー（戦略グループ 20）,MM02,C2 完成品の MRP3：戦略グループ 20 → 所要量タイプ KE の入口,1) 戦略グループ 20 が MTO の入口。ここから所要量タイプ KE（＝所要量クラス 040）が決まります / 2) 在庫確認 02 は個別所要量ベースの ATP（受注在庫と自分の入庫だけで回答）,自システムでの確認：OVZG で 020 → KE → 040 の対応を確認できます（C10/C11）。
8,sapmto,config.html,c2,,.png,品目マスタ 変更：MRP 4 ビュー（個別/包括所要量 = 1）,MM02,C2 完成品の MRP4：個別/包括所要量 1（個別所要量のみ）＝受注在庫 E の必須項目,1) ここが 1 でないと計画手配が自由在庫（プラント在庫）で生成され、MTO が崩れます / 2) 空（包括所要量）のままにすると受注在庫 E は成立しません,自システムでの確認：MM03 で 販売組織2 の品目カテゴリグループ（0001 → 練習⑤ で Z001）と合わせて3点セットで見直してください。
9,sapmto,config.html,c3,,.png,BOM 登録：初期画面（親品目 ZMTO-FG01 / プラント 1000）,CS01,C3 BOM 登録：親品目 ZMTO-FG01・用途 1（生産）,1) MRP は BOM を展開して部品の計画手配・予約を作ります。BOM が無いと部品需要が出ません / 2) 手配タイプ E（内製）でも、作業手順が無いと標準時間と差異の基準がありません,自システムでの確認：作業区は CR01（例 ZMTO_WC01 / プラント 1000・能力 8H）、作業手順は CA01（品目 ZMTO-FG01 → 工程 0010「組立」/ 作業区 ZMTO_WC01 / 標準時間 1H）。CS03・CA03 で表示確認。
10,sapmto,config.html,c3,,.png,BOM 変更：明細（用途 1）,CS01,C3 BOM 明細：ZMTO-RM01 × 2 PC、ZMTO-RM02 × 8 PC,1) 部品数量は受注数量に比例。誤ると CO03 の構成品目と 261 出庫数量がずれます,自システムでの確認：CS03 で BOM、CA03 で作業手順を表示できます。
11,sapmto,config.html,c4,,.png,条件レコードの登録,VK11,"C4 価格条件：PR00 / 得意先 1000 / 品目 ZMTO-FG01 / 12,000 JPY",1) この条件レコードが無いと練習④ の請求金額が 0 になります（受注は保存できてしまうので後で困る） / 2) 得意先レベルで登録すると、どの受注でも同じ値を引けます,自システムでの確認：条件タイプの計算手続は V/08、条件タイプ自体の定義は V/06 です。税区分は 販売組織2（MM02）の設定に従います。
12,sapmto,config.html,c4,,.png,条件レコード 照会,VK13,"C4 確認：VK13 で 12,000 JPY が見えること",1) 見えないときは有効期間と販売エリアの指定を確認してください,自システムでの確認：税区分（例 MWST 10%）は MM02 の販売組織2 で決まります。
13,sapmto,config.html,c5,,.png,カスタマイジング：IMG,SPRO,C5 IMG パス：販売管理 > 販売伝票 > 販売伝票明細 > 定義: 明細カテゴリグループ,1) 明細カテゴリ決定の 4 键の 1 つ（品目マスタ 販売組織2 の品目カテゴリグループ）がここで定義されます,自システムでの確認：カスタマイジング依頼（変更要求）に書き込めないと保存時にエラーになります。依頼番号は先に決めておきましょう。
14,sapmto,config.html,c5,,.png,明細カテゴリグループの定義,SPRO,C5 明細カテゴリグループ：標準キーを確認し、Z001 を追加,1) Z001 は練習⑤ で明細カテゴリ ZTAK を決定させるためのキー。品目マスタ 販売組織2 の値をこれに切り替えて使います / 2) 表示される標準キーは環境で異なります。まず現状を記録してください,自システムでの確認：この画面に並ぶキーは環境ごとに違います（標準は 0001/NORM 系）。表の名前（TV*）は SE16N で調べられます。
15,sapmto,config.html,c6,,.png,明細カテゴリの定義：一覧,VOV7,C6 明細カテゴリ：標準 TAN をコピーして ZTAK を作る,1) コピー元は標準 TAN。ZTAK はここから作ると他の項目を壊しません,自システムでの確認：表 TVAP（明細カテゴリ）の SOBKZ フィールドが特別在庫区分です。SE16N で ZTAK を検索して E を確認できます。
