#,サイト,ページ,ステップ,画像ファイル,差し替え後,画面タイトル,T-code,キャプション,callouts（見るべき点）,撮影メモ
1,sapvc,config.html,配置前的准备,config_prep_1.svg,config_prep_1.png,カスタマイジング（IMG）の前提確認（VC / AVC）,SPRO,配置前的准备：SPRO（IMG）と前提 3 点,1) 依頼を指定しないと保存できない / 2) AVC(PMEVC) が使えるかは最初に確認（設計方針が変わる）,S/4HANA の AVC では PMEVC が統合モデリング環境です。従来の CU41 系を使うかはプロジェクトで決めてください。
2,sapvc,config.html,c0,,.png,受注伝票 登録：初期画面,VA01,C0 VA01 の初期画面（販売エリア 1000 / 10 / 00 が選べるか）,1) 販売組織 1000 が F4 で選べる＝組織構造が分配済み。ここが空なら C0 の前提未了 / 2) 得意先 1000 に販売エリアビューと出荷先があるか（XD03 / BP で確認）,自システムでの確認：VA01 の初期画面（組織構造）。保存はせず、選べることだけを確かめます。
3,sapvc,config.html,c0,,.png,特徴の初期画面（照会 / 変更）,CT04,C0 CT04・CL02・CU01・CU41・CU50 の 5 つの T-code を順に起動して権限を確認,1) 「変更」を押すと編集可。ここで権限とカスタマイジング依頼の有無が分かる / 2) PMEVC が起動できなければ LO-VC（CU41 系）で進める＝以降の全手順の分岐点,自システムでの確認：CT04 → CL02 → CU01 → CU41 → CU50 を順に起動。使えない T-code があれば练习①〜③は実施不可（AVC は PMEVC も確認）。
4,sapvc,config.html,c1,,.png,特徴の変更：基本データ,CT04,C1 特徴 ZVC_CAPACITY の基本データ（データタイプは後から変えられない）,1) NUM にすると大小比較（>=）の依存関係が書ける。CHAR にすると容量の条件が書けない / 2) 値チェック＝許可値のみ。自由入力にすると条件レコードのキーが揃わない,自システムでの確認：CT04（照会）＋ SE16N CABN（特徴の技術名称。値は CAWN / テキストは CAWNT という記載 → 項目名は SE11 で確認）。
5,sapvc,config.html,c1,,.png,特徴 ZVC_CAPACITY：許可値タブ,CT04,C1 許可値タブ（50 / 80 / 120 を説明つきで登録）,1) 説明を入れておくと CU50 の設定画面で読みやすい,自システムでの確認：CT04 → 該当特徴 → 許可値タブ。SE16N は CAWN（値）/ CAWNT（テキスト）という記載（項目名は SE11 で確認）。
6,sapvc,config.html,c2,,.png,クラス：初期画面（クラス型 300）,CL02,C2 クラス型 300（品目変種）を選んでクラス ZVC_PUMP_CL を登録,1) クラス型 300 は VC の必須条件。症状が出たら最初にここを見る / 2) クラス名は全手順で ZVC_ 統一（品目への割当で見つけやすくする）,自システムでの確認：CL03（照会）と SE16N KLAH（CLASS / クラス型の項目 KLART = 300 という記載）→ 項目名は SE11 で確認。
7,sapvc,config.html,c2,,.png,クラス ZVC_PUMP_CL：特徴タブ,CL02,C2 特徴の割当と「必須」フラグ（容量・材質・塗装＝ON / 付属品＝OFF）,1) 必須はクラス側で設計する。CT04 では必須にしない（特徴の再利用のため） / 2) 付属品は任意のまま → 「必須にすると何が起きるか」を後で練習する余地を残す,自システムでの確認：CL03 の特徴タブ／SE16N KSML（クラスに割り当てた特徴という記載・CLINT の内部番号で絞る）→ 項目名は SE11 で確認。
8,sapvc,config.html,c3,,.png,品目マスタ 登録：初期画面,MM01,C3 設定可能品目 ZVC-PUMP01 を品目タイプ KMAT で登録（ビュー選択）,1) KMAT が F4 に出ない＝番号範囲（MMNR）か権限。VC の練習が始まらない前提 / 2) 分類ビューを選ばないとクラスを割り当てられない（ここを忘れると受注で構成が出ない）,自システムでの確認：品目タイプ KMAT の番号範囲は MMNR、品目タイプの品目カテゴリは OMS2 系（练习では触らず講師に相談）。
9,sapvc,config.html,c3,,.png,品目 ZVC-PUMP01 の変更：基本データ1 / 販売組織2,MM02,C3 設定可能インジケータ ON と品目カテゴリグループ 0002,1) 設定可能インジケータ。OFF なら構成画面が出ない＝「構成を入力できない」の第一嫌疑 / 2) 品目カテゴリグループ 0002 が VOV4 の決定キー（0001 のままだと VC 用の明細カテゴリにならない）,自システムでの確認：MM03 の基本データ1（設定可能）と販売組織2（品目カテゴリグループ）。
10,sapvc,config.html,c3,,.png,品目 ZVC-PUMP01 の変更：MRP3・MRP4・分類ビュー,MM02,C3 受注できる 5 条件の残り（戦略 25 / MRP4 個別所要量）とクラス割当,1) 戦略 25 → 所要量タイプ KEK → 所要量クラス 046 系（C11 で照会） / 2) MRP4 の個別所要量が受注在庫（E）を成立させる必須項目。未設定だと「受注在庫に割当できません」 / 3) 分類ビューにクラス（型 300）が入って初めて受注で特徴が質問される,自システムでの確認：MM03 の MRP1〜4 と分類ビュー。テーブルで見る場合は KSSK という記載（キーの持ち方は画面で確認）。
11,sapvc,config.html,c4,,.png,設定プロファイルの登録,CU41,C4 設定プロファイル ZVC_PROFILE01（割当品目・クラス・処理形式・必須チェック）,1) 割当品目を忘れると CU50 では開くのに VA01 で構成画面が出ない（受注は品目経由でプロファイルを探す） / 2) 処理形式を後から変えると既存受注が壊れる。受注を流す前に固める,自システムでの確認：CU43（照会）。機能グループ CUCO ＝設定プロファイルマスタの維持、CUCP ＝使用箇所一覧という記載（SAP Help）。
