#,サイト,ページ,ステップ,画像ファイル,差し替え後,画面タイトル,T-code,キャプション,callouts（見るべき点）,撮影メモ
1,sapmts,config.html,配置前的准备,config_prep_1.svg,config_prep_1.png,カスタマイジング（IMG）の前提確認（標準原価含む）,SPRO,配置前的准备：SPRO（IMG）と前提 3 点,1) 依頼を指定しないと保存できない / 2) 見込生産は PIR と標準原価の前提が要る,標準価格をマーク・リリース（CK24）できなければ、会計期間と評価クラスを確認してください。
2,sapmts,config.html,c0,,.png,受注伝票 登録：初期画面（販売エリアの確認）,VA01,前提確認：VA01 の初期画面で販売エリアを見る,1) 販売組織 1000 が選べる＝ OVX5（販売組織のプラント割当）まで済んでいる証拠 / 2) 得意先 1000 は受注先と出荷先を兼ねる。出荷先（船積先）が無いと出荷伝票が作れない,自システムでの確認：OX10（プラント）/ OVX5 / OVX6（出荷プラント）、BP・XD03（得意先）、MMNR / VN01（番号範囲）。
3,sapmts,config.html,c1,,.png,品目マスタ 登録：初期画面（部品 ZMTS-RM01）,MM01,部品品目（MM01）の初期画面,"1) 部品は ROH / HAWA。完成品 ZMTS-FG01（FERT）とはビュー構成が違う / 2) 初期在庫は MIGO の移動タイプ 561 で入れる（RM01 1,000 PC / RM02 2,000 PC）",自システムでの確認：ビューの必須性は SPRO「ロジスティクス一般 > 品目マスタ > 基本設定」と OMS2 で確認できます。
4,sapmts,config.html,c1,,.png,品目マスタ 登録：MRP 1 ビュー（部品の調達タイプ）,MM01,MRP 1 ビュー：PD / EX / F（部品）,1) 手配タイプ F = 外部調達。完成品の E（内製）と対比すると覚えやすい / 2) 部品に戦略グループ 40 を付けると MRP が空転する（PIR が無いので補貨し続ける）,自システムでの確認：MRP4 の「個別/包括所要量」も部品では空のままにします（MARC-DISMM / BESKZ）。
5,sapmts,config.html,c2,,.png,品目マスタ 登録：初期画面（完成品 ZMTS-FG01）,MM01,完成品品目（MM01）の初期画面,1) 品目タイプ FERT。MTS の完成品はここが FERT で、販売組織2 の品目カテゴリグループ 0001 と対になる / 2) 販売組織 1000 / チャネル 10 / 部門 00 = 受注可能な販売エリア（C5/C7 の前提）,自システムでの確認：品目タイプが持つビューの組は OMS2（品目タイプの定義）で確認できます。
6,sapmts,config.html,c2,,.png,品目マスタ 変更：MRP 3 ビュー（戦略グループと消費）,MM02,MRP 3 ビュー：戦略グループ 40 と消費モード 2,1) 戦略グループ 40 = 受注が PIR を消費する。空にすると予測と受注が無関係になる / 2) 消費モード 2（逆 30 / 順 20）。納期の前後どれだけの PIR を食べられるかを決める / 3) 個別/包括所要量は空。ここが MTS と MTO の分水嶺,自システムでの確認：MM03 MRP3 / SE16N: MARC（キー MATNR=ZMTS-FG01 / WERKS=1000）→ STRGR・VRMOD・VINT1・VINT2。
7,sapmts,config.html,c3,,.png,BOM 登録：明細（ZMTS-FG01 / プラント 1000）,CS01,BOM（CS01）の明細：RM01×2 / RM02×4,1) 有効日（有効期間）が练习日より前で終わっていると MRP が展開しない / 2) 基本数量を 100 PC などにしていると数量が BOM の倍数と合わなくなる,自システムでの確認：CS03 で明細 2 行。MD02（単品目 MRP）後に部品側へ従属所要量が出れば BOM 展開が効いている証拠です。
8,sapmts,config.html,c3,,.png,作業手順 登録：工程 0010（作業区 ZMTS_WC01）,CA01,作業手順（CA01）の工程 0010,1) 作業区の活動タイプと式が未設定だと CK11N の作業費が 0 になり差異分析が成立しない / 2) 割当を忘れると「工程なし」の指図になり CO11N で実績できない,自システムでの確認：CA03 で工程 1 行、CR03 で作業区。作業区の標準値パラメータは OPAL 系（IMG：生産 > 基本設定 > 作業区）です。
9,sapmts,config.html,c4,,.png,標準原価計算：明細（コストコンポーネント）,CK11N,"CK11N の明細：部品費＋作業費＋間接費＝8,000 JPY","1) 作業費 3,000 の出どころは KP26 の活動タイプレート（例 LAB01 / 3,000 JPY/H） / 2) 合計 8,000 JPY がそのまま在庫の評価単価になる（見込生産＝標準原価で評価）",自システムでの確認：明細の警告（レート無し・工程無し）を潰して再実行し、CK13N で再照会。レートは KP26 か IMG「管理会計 > 管理会計転送 > 活動タイプのレート割当」で確認。
10,sapmts,config.html,c4,,.png,標準原価：マークとリリース,CK24,CK24 でマーク・リリースして標準価格を有効化,1) リリースまで実行する。マークだけだと会計1 に標準価格が出ず、指図の目標原価が無くなる / 2) 期中のリリースは在庫評価を再評価する。练习系统以外では実行しない,"自システムでの確認：MM03 会計1 に標準価格 8,000 JPY が出るか。表は SE16N: MBEW（MATNR/WERKS/BWTAR）→ STPRS・PEINH・VPRSV。"
11,sapmts,config.html,c5,,.png,条件レコード 登録：PR00（販売価格）,VK11,条件レコード PR00（VK11）,"1) 販売組織の不一致や期限切れは「警告だけ」のこともあり、見落とすと請求が 0 円になる / 2) 受注 200 PC × 8,000 = 1,600,000 JPY が练习④ の請求額になる","自システムでの確認：VK13 で条件レコードが見えること、VA01 で 1 PC 入れて条件画面に 8,000 JPY が出ること。表は SE16N: KONP / KONV。"
