#,サイト,ページ,ステップ,画像ファイル,差し替え後,画面タイトル,T-code,キャプション,callouts（見るべき点）,撮影メモ
1,sapeto,config.html,配置前的准备,config_prep_1.svg,config_prep_1.png,カスタマイジング（IMG）の前提確認（PS 含む）,SPRO,配置前的准备：SPRO（IMG）と前提 3 点,1) 依頼を指定しないと保存できない / 2) ETO は PS の権限が無いと何も始まらない,プロジェクトプロファイルが選べない場合は番号範囲（OPSA）と権限を確認してください。
2,sapeto,config.html,c0,,.png,プロジェクトビルダ：プロジェクトの新規作成,CJ20N,CJ20N プロジェクトビルダ（新規作成）の初期画面,1) プロファイルが選べる＝PS 設定の前提。ここが空だと番号範囲か権限が疑わしい / 2) WBS の ID はコーディングマスク＋番号で決まる（例 ZETO-1000.1）,自システムでの確認：保存せずに戻ってよければ前提 OK。プロファイルが選べない場合は OPSA（プロファイル）の番号範囲と権限を確認します。
3,sapeto,config.html,c0,,.png,受注伝票 登録：初期画面,VA01,VA01 受注伝票登録の初期画面（前提確認）,1) 得意先 1000 は販売エリアビューと出荷先が揃っていること。欠けると受注が保存できない,自システムでの確認：得意先 1000（BP / XD03）と品目タイプ FERT / ROH / HAWA の品目番号範囲（MMNR）も併せて確認します。
4,sapeto,config.html,c1,,.png,品目マスタ 登録：初期画面（組織レベル）,MM01,品目マスタ（MM01）の初期画面：部品 ZETO-RM01,1) 部品は自由在庫。MRP4 の個別所要量は空のままにする（部品まで Q にすると在庫が追えない） / 2) 初期在庫は後続の MIGO（移動タイプ 561）で投入する,自システムでの確認：品目タイプ ROH / HAWA の品目番号範囲に空きがあるかを MMNR で確認します。
5,sapeto,config.html,c1,,.png,品目移動：初期在庫の投入（移動タイプ 561）,MIGO,MIGO：移動タイプ 561 で部品の初期在庫を投入,1) 561 は初期在庫投入用。部品は自由在庫に入る（Q にはしない） / 2) 本教材は部品を初期在庫で賄う（購買は発展課題）,自システムでの確認：MB1C（561）でも同じ結果になります。実績は MMBE で非制限使用在庫 100 / 500 PC として確認します。
6,sapeto,config.html,c2,,.png,品目マスタ 登録：販売組織 2 ビュー,MM01,販売組織 2 ビュー：品目カテゴリグループ 0001,1) 品目カテゴリグループは明細カテゴリの決定キー（ETO 専用の標準キーは無いので NORM を使う）,自システムでの確認：決定キーは VOV4（明細カテゴリの決定）で確認します。WBS を割り当てられるのはどの明細カテゴリかは C10 で実測します。
7,sapeto,config.html,c2,,.png,品目マスタ 登録：MRP 3 ビュー（戦略グループ）,MM01,MRP 3 ビュー：戦略グループ,1) 戦略グループが Q（プロジェクト在庫）を指す所要量タイプを決める。ここが受注生産（E 系）のままだと E のまま / 2) 消費モードは空のまま（ETO / MTO は PIR を使わない）,自システムでの確認：戦略グループの値は環境ごとに異なります。OPPJ（計画方針グループ）→ OPPS → OVZG（所要量クラス）の順に展開し、評価区分（M など）と個別在庫の設定を確認してください。S/4HANA Cloud の ETO（6GD）は E2 / 所要量タイプ E21（KBA 3623492）。
8,sapeto,config.html,c2,,.png,品目マスタ 登録：MRP 4 ビュー（個別所要量）,MM01,MRP 4 ビュー：個別/包括所要量,1) 1 = 個別所要量のみ。ここが集合所要量だと需要が WBS に帰属せず、Q が成立しない,受注在庫（E）／プロジェクト在庫（Q）にしたい品目は、ここが「個別所要量のみ」であることが前提です（SAP Help）。保存後は MM03 で MRP3 の戦略グループと MRP4 を再確認します。
9,sapeto,config.html,c3,,.png,品目構成（BOM）の登録：完成品 ZETO-FG01,CS01,CS01：BOM 明細（RM01 × 2・RM02 × 8）,1) ここが指図の部品所要量（予約）の出どころ。0 件だと CO03 の構成品目が空になる,自システムでの確認：有効日・プラント・用途が合っていないと CO40/CO08 で構成品目が展開されません（CS03 で確認）。外注にする場合は BOM 明細の調達タイプと購買情報レコード（ME11）まで用意します。
10,sapeto,config.html,c3,,.png,作業手順の登録：工程 0010（組立）,CA01,CA01：作業手順（工程 0010・作業区 ZETO_WC01・4H）,1) 工程 0010 が CO11N の実績入力先（工程 0010）になる,自システムでの確認：制御キーの名称・値は環境ごとに異なります（標準の「内部処理」「外部処理」系を使用）。作業区 CR01 はプラント 1000・能力 8H/日で登録します。
11,sapeto,config.html,c4,,.png,条件レコードの登録：PR00（受注金額）,VK11,VK11：条件レコード PR00 の登録,1) 受注明細の単価はここから自動決定される。ここが 0 だと請求金額も 0 になる / 2) ETO では案件ごとに価格が動く。条件＋手動変更のどちらで運用するかを決めておく,自システムでの確認：条件タイプ PR00 が有効か、アクセス順序（V/08）で得意先×品目が先に決まるかを確認します。分割請求の内訳（30%/70%）は請求計画側で持ちます。
