#,サイト,ページ,ステップ,画像ファイル,差し替え後,画面タイトル,T-code,キャプション,callouts（見るべき点）,撮影メモ
1,sap_sd,config.html,c0,,.png,Create Sales Order: Initial Screen,VA01,VA01 の初期画面（受注が作れる環境かの入口確認：受注タイプ OR ／販売エリア 1000・10・00 ／得意先 1000）,1) F4 で 1000／10／00 が選べないときは、販売組織→流通チャネル→部門の割当未了を疑う。受注側の問題ではない / 2) 得意先は複数の販売エリアを持ち得る。Enter 後に「Sales area for customer」ダイアログが出たら 1000 / 10 / 00 を選ぶ,"自システムでの確認：得意先 1000 が無ければ T-S62130（Teleko Textilien, Mainz）で読み替える。項目名は環境により異なる（S/4HANA では Fiori アプリに置き換わっている場合がある）。"
2,sap_sd,config.html,c0,,.png,Display Conditions,VK13,VK13 で PR00 の条件レコードを照会（与力条件が無いと Net value が 0 のままになる）,"1) 条件レコードが無い／期間外だと Net value は 0.00 のまま。受注の設定を疑う前にここを見る / 2) 金額は環境により異なる。自分の環境では受注の Net value（動画は 22,990.00 EUR / 10 PC）から逆算して確認する",自システムでの確認：VK13 で PR00 → 得意先 1000 × 品目 T-ATA30。行が無ければ VA03 の条件画面で Net value 0.00 になる理由がここ。期間・金額・欄名は環境により異なる。
3,sap_sd,config.html,c1,,.png,Sales Document Types: Overview,VOV8,VOV8 の伝票タイプ一覧（OR から ZOR1 をコピーして練習する）,1) OR の行で「照会」→「新しいエントリを作成（コピー）」が練習の起点。標準 OR を直接変えると標準業務の挙動が変わってしまう / 2) 一覧に出るのはキーと名称だけ。出荷・請求・価格の実値は詳細画面に入ってから読む（同じ VOV8 の中）,自システムでの確認：VOV8 の一覧を SE16N の TVAK（名称は TVAKT）と突き合わせると、画面とテーブルが 1 対 1 で対応することが分かる。エントリ数は環境により異なる（動画は 238）。
4,sap_sd,config.html,c1,,.png,Sales Document Types: Details,VOV8,VOV8 の詳細画面（伝票タイプ OR）：出荷・請求まわりの項目を読むのがこの節の目的,1) Delivery Type LF は「伝票タイプ側の既定」。実際の出荷タイプは出荷タイプ決定テーブルで上書きされる（設定が効かない＝決定テーブルを疑う） / 2) 請求ブロック 08 と受注関連請求タイプ G2（Credit Memo）はセット。出荷関連請求タイプ（例 F2）とは別物なので混同しない,自システムでの確認：出荷条件・即時出荷・請求タイプ・不完全性手順の欄もあわせて指せるようにする。標準値は環境・リリースで異なるので暗記しない。
5,sap_sd,config.html,c2,,.png,Item Categories: Details,VOV7,VOV7 の明細カテゴリ TAN の詳細（所要量タイプが空／与力関連が ON を確認する）,1) 所要量タイプが空＝所要量を作らない。だから TAN の受注は MD04 に何も出ない（故障ではなく仕様） / 2) 与力関連（Pricing）が OFF だと Net value が 0.00 のままになる。受注明細の金額が出ないときの最初の確認点,自システムでの確認：VA03 で動画と同じ受注（品目 T-ATA30、明細カテゴリ TAN）を開き、画面の明細カテゴリと VOV7 の設定が一致することを見る。
6,sap_sd,config.html,c2,,.png,Item Categories: Comparison,VOV7,VOV7 で TAN と見積・照会用カテゴリを比較（所要量タイプ・与力関連・在庫管理の違いを整理）,1) 受注と見積・照会で明細カテゴリが別物なのは正常。所要量タイプが入るカテゴリだけが在庫確認・所要量作成の対象,自システムでの確認：比較は VOV7 の詳細と SE16N の TVAP・TVAPT で行う。どのカテゴリがどの値かは自分の環境で必ず実測する。
7,sap_sd,config.html,c3,,.png,Customer Account Groups: Overview,OVT0,OVT0 の勘定グループ一覧（0001 Sold-to party 〜 0007 Sales partner）,1) 0001 は受注の「得意先」用。0002〜0004 は出荷先・支払元・請求先で、受注の 4 役割（SP/SH/PY/BP）と対応する / 2) OVS9 の得意先グループとは別物。名前が似ているが、受注の挙動を変えるのがこちら（勘定グループ）,自システムでの確認：件数・名称は環境により異なる。得意先 1000 がどの勘定グループかは XD02 のヘッダで確認する。
8,sap_sd,config.html,c3,,.png,Customer Account Groups: Details,OVT0,OVT0 の勘定グループ 0001（Sold-to party）の詳細：番号範囲・項目ステータス・パートナー決定手順,1) 番号範囲 01 は XD01 で得意先を新規作成するときの採番。使っている得意先がある状態で変えると既存番号と矛盾する / 2) 受注のパートナー（SP／SH／BP／PY）が自動で決まる源流。ここが空だと受注でパートナーが出ない,自システムでの確認：0001 と 0002 の項目ステータスを比べる。「受注で住所が必須にならない」はこの設定が原因で、受注側の設定ではない。欄名は環境により異なる。
9,sap_sd,config.html,c4,,.png,Customer Groups: Overview,OVS9,OVS9 の得意先グループ一覧（動画と同じ 01〜20 の並び、動画は 47 エントリ）,1) 統計・分析の分類であり、与力価格や明細カテゴリを決める設定ではない。混同すると探す場所を間違える / 2) ここにグループを足しても、得意先マスタ（XD02 販売エリアデータ → 販売タブ）に値が入るまで受注には影響しない,自システムでの確認：エントリ数は環境により異なる。得意先 1000 の得意先グループは XD02 の販売タブで確認する。
10,sap_sd,config.html,c4,,.png,Change Customer 1000: Sales Area Data,XD02,XD02 の得意先 1000「販売エリアデータ → 販売タブ」（得意先グループ欄はここで確認できる）,1) 得意先グループは得意先マスタ側の属性。受注画面で見えても、変えただけでブロックや価格は動かない / 2) 勘定グループはこの画面ではなくヘッダ（XD02 の初期画面）で見る。0001（得意先）と 0002（出荷先）は別物,自システムでの確認：タブ名・欄名はリリースで異なる。得意先グループが空でも受注は作れる（分析に使われていないだけ）。
11,sap_sd,config.html,c5,,.png,Maintain Report Views,SPRO,① Maintain Report Views：情報ビュー 001〜900 の一覧（Standard は 001 のみ）,1) 001 の Standard チェックが外れると VC/2 の既定ビューが変わる。動画では 001 にだけ入っている / 2) Form SD-SALES-SUMMARY は「② Maintain Views for an Evaluation」の詳細で確認する。VC/2 のレイアウトはここに紐づく,自システムでの確認：SPRO の「リスト（Lists）」配下で 4 つのアクティビティ（① Maintain Report Views ② Maintain Views for an Evaluation ③ Maintain the Report Views for a User ④ Last Documents for a Customer）を探す。画面名は環境により異なる。
12,sap_sd,config.html,c5,,.png,Last SD Documents,VC/2,VC/2「Last SD Documents」（情報ビュー 101）：受注と請求書が並ぶ,"1) 文書カテゴリ C Order の統計更新が OFF だと、ここに受注が並ばない（→ ④ Last Documents for a Customer） / 2) 番号は動画と同じ得意先 1000 の例。概念スライドの得意先 5264（FA IDES, Walldorf）は例示なので混同しない",自システムでの確認：VC/2 で得意先 1000 を入れ「View」を押すと 001／002／003／005／100／101／102／103／900 が並ぶ。統計が未構築の環境では数字が出ない（構造だけは見える）。
13,sap_sd,config.html,c6,,.png,Display Sales Order: Overview,VA03,VA03 で受注を開き、明細 10 の納入日程行を展開してカテゴリを読む,1) 納入日程行カテゴリ CP は「在庫確認（ATP）＋所要量転送」が有効な標準カテゴリ。ここが空／別カテゴリだと MD04 に所要量が出ない / 2) 日付は納入日程行の日付。受注の Req.deliv.date 09.06.2007 がここに落ちる,自システムでの確認：VA03 → 明細 → 納入日程行を表示し、Sched.line cat. の列を読む（表示方法と列名は環境により異なる）。
14,sap_sd,config.html,c6,,.png,"Change View ""Schedule line categories"": Details",VOV6,VOV6 で納入日程行カテゴリの中身（所要量タイプ・在庫確認）を読む,1) 所要量タイプ（Requirement type）が入っているから品目所要量が MRP に渡る。空だと何も出ない（エラーではなく仕様） / 2) 在庫確認は 伝票タイプ → 納入日程行カテゴリ → 品目マスタ の 3 階層。上位が下位を上書きする（C13）,自システムでの確認：VOV6 で自分の環境のカテゴリを開く。移動タイプ 601 は「受注出庫」を示すが、値は環境により異なる。
15,sap_sd,config.html,c7,,.png,"Change View ""Item categories"": Overview",VOV4,VOV4 で伝票タイプ OR に許可されている明細カテゴリの一覧を確認する,1) ここは「使ってよい明細カテゴリ」の割当（許可）リスト。決定テーブル（C8）とは別の仕組み / 2) 追加した ZOR1 × ZTAN の行。VA01 では新規受注でだけ効く（既存受注の明細カテゴリは不変）,自システムでの確認：VOV4 の割当ビューで OR の行を読み、練習では ZOR1 × ZTAN を追加してから VA01 で ZOR1 の受注を作る。画面の呼称は環境により異なる。
16,sap_sd,config.html,c8,,.png,Display Material T-ATA30 (Sales Org. 2),MM03,MM03 の販売組織 2 ビューで品目カテゴリグループを読む,1) 決定テーブルの 2 つ目のキー。OR × NORM × 空 × 空 → TAN の行を VOV4 で探しにいく / 2) ここを別の値にした品目で受注を作ると明細カテゴリが変わる。変えたら必ず新規受注で確認する（既存受注は不変）,自システムでの確認：MM03 → 品目 → 販売組織 2 → Item category group。ビューの呼称は環境により異なる。
17,sap_sd,config.html,c8,,.png,"Change View ""Item category determination"": Overview",VOV4,VOV4 の明細カテゴリ決定テーブルで OR × NORM × 空 × 空 → TAN の行を探す,1) 1 つでもキーが合わないと行に当たらず、エラーまたは別カテゴリへフォールバックする。必ずキー 4 つを読む / 2) 練習で追加した ZOR1 × NORM × 空 × 空 → ZTAN の行。新規受注でだけ効く,自システムでの確認：VA03 の明細カテゴリと、VOV4 の決定テーブルの結果が一致するかを見る。既存受注は伝票タイプを変えても明細カテゴリが変わらない。
18,sap_sd,config.html,c9,,.png,"Change View ""Schedule line categories"": Overview",VOV5,VOV5 の決定テーブルで明細カテゴリ × MRP タイプの組み合わせを確認する,1) キーは「明細カテゴリ × MRP タイプ」。MRP 3 ビューの戦略グループ由来の所要量タイプと混同しやすい / 2) MRP タイプが空、または行が無いと決定に至らず、在庫確認も所要量も走らない（エラーではなく仕様）,自システムでの確認：VA03 → VOV5 → VOV6 の順にたどり、同じカテゴリに行き着くことを確かめる。決定したカテゴリの在庫確認は VOV6 で読む。
19,sap_sd,config.html,c10,,.png,Display Customer-Material Info Record,VD53,VD53 で客先品目情報（優先順位 1 位）の出荷プラントを読む,1) 客先品目情報は 得意先 × 品目 × 販売エリア の組み合わせで持つ。登録は VD51、照会は VD53 / 2) ここに入ると得意先マスタ・品目マスタの出荷プラントより強く効く。上位が優先される,自システムでの確認：VD53 で得意先 × 品目 × 販売エリアを入れて出荷プラントを読む。値が空なら下位（得意先マスタ → 品目マスタ）が提案される。
