#,サイト,ページ,ステップ,画像ファイル,差し替え後,画面タイトル,T-code,キャプション,callouts（見るべき点）,撮影メモ
1,saporderflow,compare.html,早见表 2：在庫区分とテーブル（ここを間違えると全部崩れる）,,.png,在庫一覧　プラント 1000（MTO：受注在庫 E）,MMBE,【E】MMBE：受注在庫（特別在庫 E）,1) 受注番号＋明細で帰属が決まる。ここが空なら受注在庫になっていない,自システムでの確認：MMBE の「特別在庫」欄が出ない場合は、表示項目の追加（設定 → 項目）を確認してください。表で直接見るなら SE16N で MSKA。
2,saporderflow,compare.html,早见表 2：在庫区分とテーブル（ここを間違えると全部崩れる）,,.png,在庫一覧　プラント 1000（ETO：プロジェクト在庫 Q）,MMBE,【Q】MMBE：プロジェクト在庫（特別在庫 Q）,1) WBS で帰属するのが Q。表は MSPR,自システムでの確認：プロジェクト在庫はプロジェクト定義の「評価付プロジェクト在庫」と所要量クラス（評価区分 M）が揃って初めて評価されます。SE16N の MSPR で数量を確認できます。
3,saporderflow,compare.html,E（受注在庫）と Q（プロジェクト在庫）の 4 点セット対比,,.png,明細カテゴリの設定　ZTAK（特別在庫 E）,VOV7 / VOV4,【E】明細カテゴリの「特別在庫 E」,1) ここが E ＝ 受注在庫。空だと自由在庫に入る（取違えの最頻出）,自システムでの確認：明細カテゴリの決定は VOV4（販売組織＋流通チャネル＋品目カテゴリグループ＋品目カテゴリグループ）。VA03 の明細で実測できます。
4,saporderflow,compare.html,E（受注在庫）と Q（プロジェクト在庫）の 4 点セット対比,,.png,プロジェクトビルダ　WBS 要素の詳細（Q の前提）,CJ20N,【Q】WBS の「勘定設定要素 / 請求要素」フラグ,1) 請求要素でない WBS を明細に割り当てると CJI3 に収益が出ない,自システムでの確認：WBS のフラグは CJ20N（または CJ02）の詳細画面。収益認識は結果分析キー（KKA2）と併せて確認します。
5,saporderflow,compare.html,配置を間違えたときの症状（入れ替え・取り違え）,,.png,在庫/所要量リスト　個別需要が成立していない例,MD04,症状：計画手配の勘定設定・在庫区分が空,1) MTO なら「明細カテゴリの特別在庫 E」、ETO なら「評価付プロジェクト在庫と受注明細の WBS」を先に疑う,切り分けの順序：① 受注明細（明細カテゴリ / WBS）→ ② 品目マスタ MRP4 → ③ 戦略グループ・所要量クラス。
6,saporderflow,scenario-eq.html,STEP 対照表（一致点と相違点）,,.png,受注明細の詳細（MTO：明細に WBS なし）,VA01 / VA03,【E】VA03：明細に WBS なし（在庫区分 E）,1) MTO は人が入力する欄がない＝設定がすべてを決める,自システムでの確認：明細の特別在庫区分は VA03 の明細詳細 → 出荷 / 在庫区分。または VBAP の SOBKZ を SE16N で。
7,saporderflow,scenario-eq.html,STEP 対照表（一致点と相違点）,,.png,受注明細の詳細（ETO：明細に WBS を割当）,VA01 / VA03,【Q】VA03：明細に WBS を割当（在庫区分 Q）,1) WBS を割り当てる＝需要・原価・収益がこの案件に集まる / 2) 収益を立てるには請求要素であること,自システムでの確認：WBS を割り当てられる明細カテゴリは限定されます（VOV7 と Cloud の交付済みカテゴリ）。Cloud の例は SAP Help（販売伝票の企業ポートフォリオ…）の CBAO。
8,saporderflow,scenario-eq.html,STEP 対照表（一致点と相違点）,,.png,在庫/所要量リスト（MTO：受注在庫 E）,MD04,【E】MD04：得意先所要量（在庫区分 E）,1) MRP 要素の「得意先所要量」が受注由来の需要,自システムでの確認：MTO は MRP4 の「個別/包括所要量 = 個別所要量のみ」＋ 戦略グループが前提。MD04 の MRP 要素に受注番号が出ていれば個別需要として処理されています。
9,saporderflow,scenario-eq.html,STEP 対照表（一致点と相違点）,,.png,在庫/所要量リスト（ETO：勘定設定 WBS・在庫区分 Q）,MD51 / MD04,【Q】MD04：勘定設定 WBS・在庫区分 Q,1) 勘定設定 = WBS（原価の集まる先） / 2) 在庫区分 = Q（プロジェクト在庫）,自システムでの確認：プロジェクト/受注単位の MRP は MD51 / MD50。結果は MD04 で確認し、勘定設定が空なら「評価付プロジェクト在庫」と「受注明細の WBS」を疑います。
10,saporderflow,scenario-eq.html,期末（月末）の見え方の違い,,.png,製造指図の差異計算（MTO：指図の損益）,KKS1,【E】KKS1：指図の差異計算,1) 標準原価と実際原価の差＝差異。決済（KO88）で受注明細へ,自システムでの確認：差異が出ない場合は指図に標準原価が入っているか（CO03 の原価項目）を確認してください。
11,saporderflow,scenario-eq.html,期末（月末）の見え方の違い,,.png,結果分析（ETO：案件の進捗損益）,KKA2,【Q】KKA2：結果分析（進捗 → 認識収益 / WIP）,1) 進捗を入れてから実行する（無いと認識されない）,自システムでの確認：結果分析キーは OKG9 系のカスタマイジング。WIP は KKAX、決算は CJ88（WBS）/ KO88（指図）/ VA88（受注）。
12,saporderflow,scenario-eq.html,期末（月末）の見え方の違い,,.png,WBS 要素別の原価・収益（ETO の見え方）,CJI3,【Q】CJI3：収益は請求要素・原価は勘定設定要素,1) 収益が立たない時は「WBS が請求要素か」を最初に見る,自システムでの確認：収益が出ない場合は ① WBS が請求要素か ② 受注明細に WBS が入っているか ③ 請求書が WBS を持っているかを順に確認します。
